especie_validada,longitud_caparazon_mm,longitud_rostro_mm,longitud_quela_mm,ancho_quela_mm,pleon_plegado,presencia_setas,ornamentacion_caparazon,forma_quela,notas,info_detallada,link_especie
Pisidia brasiliensis,3.87,0.91,4.57,1.96,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.67,1.03,4.73,2.09,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.64,0.98,4.57,2.1,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.71,0.99,4.25,1.88,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.95,1.07,4.48,2.1,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.87,0.97,4.58,2.15,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.79,1.08,3.91,2.08,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.82,0.99,4.52,1.8,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.76,1.02,4.83,1.95,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.65,0.97,4.71,2.03,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.7,1.03,4.52,2.1,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.67,0.98,4.41,1.85,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.86,1.01,4.5,1.98,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.53,0.98,4.42,1.92,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.77,1.02,4.92,2.02,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.85,1.0,4.07,2.0,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.81,1.12,4.46,2.03,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.79,0.94,4.76,2.08,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.95,0.95,4.82,1.86,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.91,1.11,4.28,1.94,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.82,0.97,4.15,2.01,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.6,1.02,4.29,2.15,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.65,0.98,4.68,1.88,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.84,1.07,4.14,2.02,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.85,1.04,4.22,1.87,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.9,1.01,4.56,2.03,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.67,1.01,4.57,1.93,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,4.15,1.02,4.23,2.07,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.61,1.04,4.76,1.92,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.98,1.02,4.68,2.19,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.75,0.96,4.3,1.92,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.79,1.02,4.56,2.08,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.8,1.07,4.44,2.27,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.92,0.96,4.26,2.05,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.76,1.04,4.61,1.99,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.64,0.92,4.4,2.09,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.84,0.94,4.54,2.04,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.63,1.01,4.51,1.89,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Porcellana sayana,12.21,3.08,15.81,5.26,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,11.17,2.86,15.39,5.13,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,12.31,3.58,15.43,5.28,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,12.57,3.1,14.76,5.19,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,11.54,2.96,14.64,5.02,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,13.39,2.72,15.51,4.6,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,11.72,3.16,15.05,4.73,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,11.57,3.1,14.45,5.05,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,12.03,2.9,16.61,5.16,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,10.78,3.03,14.5,5.21,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,11.52,2.98,15.38,5.22,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,11.28,2.95,14.64,4.84,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,13.06,3.06,14.05,5.23,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,13.27,3.15,13.86,4.88,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,12.76,2.89,15.33,5.19,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,11.44,2.99,12.57,4.74,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,11.85,2.81,16.22,4.64,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,11.74,3.02,16.08,4.64,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,12.7,3.0,14.26,5.12,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,12.12,2.91,15.05,4.9,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,12.07,3.1,16.19,4.69,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,13.28,2.71,14.89,5.15,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,12.17,2.91,14.84,4.88,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,11.65,3.13,15.27,4.83,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,12.54,3.05,15.61,5.16,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,11.5,2.92,15.56,5.15,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,11.99,3.02,15.96,4.85,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,12.33,2.97,14.84,5.27,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,12.5,3.12,15.98,5.01,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,12.41,2.95,15.24,4.97,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,12.06,3.09,14.39,5.52,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,11.4,2.82,15.87,5.2,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,12.37,3.09,14.99,4.78,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,12.05,2.9,15.73,4.96,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,11.5,2.95,15.31,4.86,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,11.51,3.04,15.18,4.87,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,11.72,3.03,13.91,4.65,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,11.57,2.97,15.23,5.37,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,12.51,2.98,14.99,4.75,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,11.99,2.96,15.24,4.79,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,12.31,3.23,14.92,5.1,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,12.41,2.94,15.17,5.0,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,12.06,2.88,15.02,5.12,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,12.87,3.14,16.61,4.81,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,12.52,3.03,16.64,4.8,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,11.5,2.91,13.41,4.87,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,11.54,3.02,15.26,5.47,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,12.57,2.91,14.33,5.12,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,11.21,3.27,15.88,4.88,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Porcellana sayana,10.97,3.2,14.91,5.31,1,0,lisa,delgada,"Rojizo con manchas, rostro triangular, Vzla+PI","Conocida como cangrejo porcelana manchado, suele vivir de forma comensal con cangrejos ermitaños.",https://www.marinespecies.org/aphia.php?p=taxdetails&id=421869
Megalobrachium roseum,4.6,1.46,5.5,2.51,1,1,rugosa,robusta,"Quelas espinas y setosas, Vzla+PI",Originalmente descrita como Porcellana rosea; habita en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=421868
Megalobrachium roseum,4.89,1.55,5.21,2.48,1,1,rugosa,robusta,"Quelas espinas y setosas, Vzla+PI",Originalmente descrita como Porcellana rosea; habita en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=421868
Megalobrachium roseum,5.03,1.54,5.7,2.36,1,1,rugosa,robusta,"Quelas espinas y setosas, Vzla+PI",Originalmente descrita como Porcellana rosea; habita en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=421868
Megalobrachium roseum,4.62,1.6,5.59,2.41,1,1,rugosa,robusta,"Quelas espinas y setosas, Vzla+PI",Originalmente descrita como Porcellana rosea; habita en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=421868
Megalobrachium roseum,5.39,1.51,5.82,2.51,1,1,rugosa,robusta,"Quelas espinas y setosas, Vzla+PI",Originalmente descrita como Porcellana rosea; habita en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=421868
